Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,selected_rising_entry_floor,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag,equity_buy_and_hold,bh_ret
2006-08-15,1,0.0,0.0119588313045595,0.011958831304559547,0.011761422568468101,hold,2006-06-01,12,0.49,0.67,0.52,0.3277818560600281,0.5544516080339869,1,1.2339574944882872,1,1,0,0.9774647068726448,0.011958483403373243
2006-08-16,1,0.0,0.008318194676393,0.008318194676393054,0.008121919033069,hold,2006-06-01,12,0.49,0.67,0.52,0.9863126873970032,0.5786901079392619,1,1.244221793149835,1,1,0,0.9855952829604528,0.00831802522448255
2006-08-17,1,0.0,0.0025441571320792,0.0025441571320792278,0.0023471260577786,hold,2006-06-01,12,0.49,0.67,0.52,0.9944049119949341,0.6020223870452817,1,1.2473872888987656,1,1,0,0.9881032106352746,0.00254458165352478
2006-08-18,1,0.0,0.0050757397119836,0.005075739711983607,0.0048783309758922,hold,2006-06-01,12,0.49,0.67,0.52,0.9941402077674866,0.6240302692430718,1,1.2537187020972527,1,1,0,0.9931184814058588,0.005075654766226068
2006-08-21,1,0.0,-0.0042848039518245,-0.004284803951824512,-0.0044825903139174,hold,2006-06-01,12,0.49,0.67,0.52,0.9861241579055786,0.6443530376180133,1,1.24834676324803,1,1,0,0.9888633304346897,-0.004284635771902634
2006-08-22,1,0.0,-7.676670463319102e-05,-7.676670463319102e-05,-0.00027417544072459103,hold,2006-06-01,12,0.49,0.67,0.52,0.9907962083816528,0.663797398693856,1,1.248250931780776,1,1,0,0.9887871681344184,-7.702004708554089e-05
2006-08-23,1,0.0,-0.0027667695762946,-0.0027667695762946254,-0.0029638006505951996,bull,2006-06-01,12,0.49,0.67,0.52,0.954096794128418,0.6800906517907096,1,1.2447973090791435,1,1,0,0.9860512546265487,-0.002766938726593282
2006-08-24,1,0.0,-0.0008475191369347,-0.0008475191369347046,-0.0010445502112353,bull,2006-06-01,12,0.49,0.67,0.52,0.8916075825691223,0.6919621849101066,1,1.243742319538094,1,1,0,0.9852157241285106,-0.0008473499669696682
2006-08-25,1,0.0,0.0012336620725454,0.0012336620725454939,0.0010358757104525,bull,2006-06-01,12,0.49,0.67,0.52,0.9446673393249512,0.7061454353905185,1,1.245276677265728,1,1,0,0.9864313980375505,0.0012339164705428285
2006-08-28,1,0.0,0.004776434035024,0.004776434035024035,0.0045790252989326,bull,2006-06-01,12,0.49,0.67,0.52,0.6365818977355957,0.7022411340273431,1,1.2512246591700416,1,1,0,0.9911430217425808,0.004776433226277854
2006-08-29,1,0.0,0.0011499473937821,0.001149947393782158,0.0009536717504581,bull,2006-06-01,12,0.49,0.67,0.52,0.916312575340271,0.7142560408062517,1,1.25266350170589,1,1,0,0.992283034419115,0.0011501999726839518
2006-08-30,1,0.0,0.0006131113934613,0.0006131113934613186,0.00041759132435249997,bull,2006-06-01,12,0.49,0.67,0.52,0.9631204009056091,0.7282237240658587,1,1.253431523970959,1,1,0,0.9928907461066937,0.0006124378493828075
2006-08-31,1,0.0,-0.0001534993391536,-0.00015349933915353997,-0.0003490194082624,bull,2006-06-01,12,0.49,0.67,0.52,0.9566536545753479,0.7410445109197767,1,1.2532391230603552,1,1,0,0.9927385885287401,-0.00015324705014152507
2006-09-01,1,0.0,0.0059703164935673,0.005970316493567385,0.005775930054472999,bull,2006-06-01,12,0.49,0.67,0.52,0.956150233745575,0.7531174674594758,1,1.2607213572671463,1,1,0,0.9986658026315163,0.005970568859986036
2006-09-05,1,0.0,0.0019027551148145,0.001902755114814525,0.0017091246082706,bull,2006-06-01,12,0.49,0.67,0.52,0.9605128169059753,0.7647576739937809,1,1.2631202012780423,1,1,0,1.0005655175509942,0.0019022529002916677
2006-09-06,1,0.0,-0.0088101336735549,-0.008810133673554876,-0.0090026300123265,bull,2006-06-01,12,0.49,0.67,0.52,0.9821564555168152,0.7769593300289235,1,1.2519919434590152,1,1,0,0.9917505664075714,-0.008809968951357106
2006-09-07,1,0.0,-0.004597307414072,-0.004597307414071938,-0.0047898037528435996,bull,2006-06-01,12,0.49,0.67,0.52,0.8443156480789185,0.7807397496747099,1,1.2462361516149927,1,1,0,0.9871914343256712,-0.004597055183355958
2006-09-08,1,0.0,0.0028482239015803,0.002848223901580349,0.0026572402888265,bull,2006-06-01,12,0.49,0.67,0.52,0.7690556645393372,0.7800839723658015,1,1.249785711209036,1,1,0,0.990003092577341,0.002848138824857571
2006-09-11,1,0.0,0.0009977460454571,0.000997746045457104,0.0008067624327033,bull,2006-06-01,12,0.49,0.67,0.52,0.8661851286888123,0.7849164589433314,1,1.2510326799600637,1,1,0,0.9909910311872157,0.0009979146704508501
2006-09-12,1,0.0,0.0098155756838469,0.009815575683846944,0.0096257269925864,bull,2006-06-01,12,0.49,0.67,0.52,0.7689088582992554,0.7840180213548656,1,1.2633122859131776,1,1,0,1.0007175081063595,0.009814899038482094
