Date,rebalance_date,split,selected_smoothing_halflife,selected_threshold,selected_drawdown_threshold,selected_drawdown_prob_floor,predicted_probability_raw,predicted_probability_smoothed,predicted_label,y_true,drawdown_from_peak,drawdown_entry_trigger,signal_zone
2000-11-16,2000-05-26,oos,0,0.55,0.2,0.52,0.0014649474760517478,0.0014649474760517478,0,0,-0.1015673200057029,0,bear
2000-11-17,2000-05-26,oos,0,0.55,0.2,0.52,0.0010842997580766678,0.0010842997580766678,0,0,-0.10457883958957082,0,bear
2000-11-20,2000-05-26,oos,0,0.55,0.2,0.52,0.0009145200601778924,0.0009145200601778924,0,0,-0.12101133289730515,0,bear
2000-11-21,2000-05-26,oos,0,0.55,0.2,0.52,0.0013311614748090506,0.0013311614748090506,0,0,-0.11791470150289074,0,bear
2000-11-22,2000-05-26,oos,0,0.55,0.2,0.52,0.00222854339517653,0.00222854339517653,0,0,-0.13427518941973082,0,bear
2000-11-27,2000-11-27,oos,0,0.55,0.2,0.52,0.0017165419412776828,0.0017165419412776828,0,0,-0.11685412043457055,0,bear
2000-11-28,2000-11-27,oos,0,0.55,0.2,0.52,0.0006207195110619068,0.0006207195110619068,0,0,-0.12528642321971661,0,bear
2000-11-29,2000-11-27,oos,0,0.55,0.2,0.52,0.0006349500617943704,0.0006349500617943704,0,0,-0.12146302487214844,0,bear
2000-11-30,2000-11-27,oos,0,0.55,0.2,0.52,0.0004411309491842985,0.0004411309491842985,0,0,-0.1391264027864888,0,bear
2000-12-01,2000-11-27,oos,0,0.55,0.2,0.52,0.0004848363751079887,0.0004848363751079887,0,0,-0.1389430727457438,0,bear
2000-12-04,2000-11-27,oos,0,0.55,0.2,0.52,0.0011157506378367543,0.0011157506378367543,0,0,-0.1325664799161701,0,bear
2000-12-05,2000-11-27,oos,0,0.55,0.2,0.52,0.05668643116950989,0.05668643116950989,0,0,-0.09880450272645491,0,bear
2000-12-06,2000-11-27,oos,0,0.55,0.2,0.52,0.0053561097010970116,0.0053561097010970116,0,0,-0.11522396953172998,0,bear
2000-12-07,2000-11-27,oos,0,0.55,0.2,0.52,0.0038121030665934086,0.0038121030665934086,0,0,-0.12040244380382825,0,bear
2000-12-08,2000-11-27,oos,0,0.55,0.2,0.52,0.0551883727312088,0.0551883727312088,0,0,-0.10315815164958675,0,bear
2000-12-11,2000-11-27,oos,0,0.55,0.2,0.52,0.12746462225914001,0.12746462225914001,0,0,-0.09640842544589001,0,bear
2000-12-12,2000-11-27,oos,0,0.55,0.2,0.52,0.1701325625181198,0.1701325625181198,0,0,-0.10231358675394908,0,bear
2000-12-13,2000-11-27,oos,0,0.55,0.2,0.52,0.027695361524820328,0.027695361524820328,0,0,-0.1096395159191852,0,bear
2000-12-14,2000-11-27,oos,0,0.55,0.2,0.52,0.0014381189830601215,0.0014381189830601215,0,0,-0.1221177065172151,0,bear
2000-12-15,2000-11-27,oos,0,0.55,0.2,0.52,0.0008711343980394304,0.0008711343980394304,0,0,-0.14095946344235954,0,bear
2000-12-18,2000-11-27,oos,0,0.55,0.2,0.52,0.0010121737141162157,0.0010121737141162157,0,0,-0.1340264071979178,0,bear
2000-12-19,2000-11-27,oos,0,0.55,0.2,0.52,0.0011026185238733888,0.0011026185238733888,0,0,-0.14524766018442326,0,bear
2000-12-20,2000-11-27,oos,0,0.55,0.2,0.52,0.0008349609561264515,0.0008349609561264515,0,0,-0.17199794261178336,0,bear
2000-12-21,2000-11-27,oos,0,0.55,0.2,0.52,0.0010129580041393638,0.0010129580041393638,0,0,-0.16537256756039664,0,bear
2000-12-22,2000-11-27,oos,0,0.55,0.2,0.52,0.001531265559606254,0.001531265559606254,0,0,-0.1450185375920886,0,bear
2000-12-26,2000-11-27,oos,0,0.55,0.2,0.52,0.006239818874746561,0.006239818874746561,0,0,-0.13896928558504817,0,bear
2000-12-27,2000-11-27,oos,0,0.55,0.2,0.52,0.045792356133461,0.045792356133461,0,0,-0.129980439467841,0,bear
2000-12-28,2000-11-27,oos,0,0.55,0.2,0.52,0.024814004078507423,0.024814004078507423,0,0,-0.12651067469930355,0,bear
2000-12-29,2000-11-27,oos,0,0.55,0.2,0.52,0.008478990755975246,0.008478990755975246,0,0,-0.13563689847128002,0,bear
2001-01-02,2000-11-27,oos,0,0.55,0.2,0.52,0.003588738152757287,0.003588738152757287,0,0,-0.15986667254857212,0,bear
2001-01-03,2000-11-27,oos,0,0.55,0.2,0.52,0.16506321728229523,0.16506321728229523,0,0,-0.1177771640137355,0,bear
2001-01-04,2000-11-27,oos,0,0.55,0.2,0.52,0.33819374442100525,0.33819374442100525,0,0,-0.12708679774364995,0,bear
2001-01-05,2000-11-27,oos,0,0.55,0.2,0.52,0.007093935739248991,0.007093935739248991,0,0,-0.1499941021111565,0,bear
2001-01-08,2000-11-27,oos,0,0.55,0.2,0.52,0.00867600180208683,0.00867600180208683,0,0,-0.15162425301399707,0,bear
2001-01-09,2000-11-27,oos,0,0.55,0.2,0.52,0.007698156405240297,0.007698156405240297,0,0,-0.14839008413042742,0,bear
2001-01-10,2000-11-27,oos,0,0.55,0.2,0.52,0.020211651921272278,0.020211651921272278,0,0,-0.14022622319657263,0,bear
2001-01-11,2000-11-27,oos,0,0.55,0.2,0.52,0.27330008149147034,0.27330008149147034,0,0,-0.1313553348562354,0,bear
2001-01-12,2000-11-27,oos,0,0.55,0.2,0.52,0.055251359939575195,0.055251359939575195,0,0,-0.13676948493049446,0,bear
2001-01-16,2000-11-27,oos,0,0.55,0.2,0.52,0.19445601105690002,0.19445601105690002,0,0,-0.13146657958889318,0,bear
2001-01-17,2000-11-27,oos,0,0.55,0.2,0.52,0.19496223330497742,0.19496223330497742,0,0,-0.1296204125133702,0,bear
2001-01-18,2000-11-27,oos,0,0.55,0.2,0.52,0.25701597332954407,0.25701597332954407,0,0,-0.11750880207963721,0,bear
2001-01-19,2000-11-27,oos,0,0.55,0.2,0.52,0.5576790571212769,0.5576790571212769,1,0,-0.12106367865872103,0,bull
2001-01-22,2000-11-27,oos,0,0.55,0.2,0.52,0.4838941991329193,0.4838941991329193,0,1,-0.12082800285656015,0,bear
2001-01-23,2000-11-27,oos,0,0.55,0.2,0.52,0.6722724437713623,0.6722724437713623,1,1,-0.10937107406789381,0,bull
2001-01-24,2000-11-27,oos,0,0.55,0.2,0.52,0.754081130027771,0.754081130027771,1,0,-0.10681779966869531,0,bull
2001-01-25,2000-11-27,oos,0,0.55,0.2,0.52,0.760928750038147,0.760928750038147,1,0,-0.11126311361219954,0,bull
2001-01-26,2000-11-27,oos,0,0.55,0.2,0.52,0.4637114107608795,0.4637114107608795,0,0,-0.11293913698382285,0,bear
2001-01-29,2000-11-27,oos,0,0.55,0.2,0.52,0.841936469078064,0.841936469078064,1,1,-0.10690291147924169,0,bull
2001-01-30,2000-11-27,oos,0,0.55,0.2,0.52,0.8202610015869141,0.8202610015869141,1,0,-0.10064419650934486,0,bull
2001-01-31,2000-11-27,oos,0,0.55,0.2,0.52,0.9239878058433533,0.9239878058433533,1,1,-0.10569831962913312,0,bull
2001-02-01,2000-11-27,oos,0,0.55,0.2,0.52,0.8360283970832825,0.8360283970832825,1,0,-0.10081442013043762,0,bull
2001-02-02,2000-11-27,oos,0,0.55,0.2,0.52,0.2841370105743408,0.2841370105743408,0,0,-0.11652677961203717,0,bear
2001-02-05,2000-11-27,oos,0,0.55,0.2,0.52,0.4759095311164856,0.4759095311164856,0,0,-0.11335806290953565,0,bear
2001-02-06,2000-11-27,oos,0,0.55,0.2,0.52,0.5352813005447388,0.5352813005447388,0,0,-0.11470019224879946,0,bear
2001-02-07,2000-11-27,oos,0,0.55,0.2,0.52,0.06393048167228699,0.06393048167228699,0,0,-0.12214391935651958,0,bear
2001-02-08,2000-11-27,oos,0,0.55,0.2,0.52,0.021414071321487427,0.021414071321487427,0,0,-0.1276170483192136,0,bear
2001-02-09,2000-11-27,oos,0,0.55,0.2,0.52,0.0036320537328720093,0.0036320537328720093,0,0,-0.13925075393879882,0,bear
2001-02-12,2000-11-27,oos,0,0.55,0.2,0.52,0.010398820042610168,0.010398820042610168,0,0,-0.1290704223911352,0,bear
2001-02-13,2000-11-27,oos,0,0.55,0.2,0.52,0.00354023021645844,0.00354023021645844,0,0,-0.1366058145192277,0,bear
2001-02-14,2000-11-27,oos,0,0.55,0.2,0.52,0.00300487014465034,0.00300487014465034,0,0,-0.13849130085370742,0,bear
2001-02-15,2000-11-27,oos,0,0.55,0.2,0.52,0.010066951625049114,0.010066951625049114,0,0,-0.13149279242819756,0,bear
2001-02-16,2000-11-27,oos,0,0.55,0.2,0.52,0.0017758910544216633,0.0017758910544216633,0,0,-0.14791217931627965,0,bear
2001-02-20,2000-11-27,oos,0,0.55,0.2,0.52,0.0019777403213083744,0.0019777403213083744,0,0,-0.16270149521871413,0,bear
2001-02-21,2000-11-27,oos,0,0.55,0.2,0.52,0.00285996962338686,0.00285996962338686,0,0,-0.17819775861043818,0,bear
2001-02-22,2000-11-27,oos,0,0.55,0.2,0.52,0.0041093067266047,0.0041093067266047,0,0,-0.17980177659116725,0,bear
2001-02-23,2000-11-27,oos,0,0.55,0.2,0.52,0.005039440467953682,0.005039440467953682,0,0,-0.18435833526732937,0,bear
2001-02-26,2000-11-27,oos,0,0.55,0.2,0.52,0.0028169869910925627,0.0028169869910925627,0,0,-0.1700927966478254,0,bear
2001-02-27,2000-11-27,oos,0,0.55,0.2,0.52,0.004159329924732447,0.004159329924732447,0,0,-0.17644980976511382,0,bear
2001-02-28,2000-11-27,oos,0,0.55,0.2,0.52,0.006200698204338551,0.006200698204338551,0,0,-0.18823407937631342,0,bear
2001-03-01,2000-11-27,oos,0,0.55,0.2,0.52,0.0022277366369962692,0.0022277366369962692,0,0,-0.18738951448067576,0,bear
2001-03-02,2000-11-27,oos,0,0.55,0.2,0.52,0.0024652129504829645,0.0024652129504829645,0,0,-0.19200497212807976,0,bear
2001-03-05,2000-11-27,oos,0,0.55,0.2,0.52,0.004032876342535019,0.004032876342535019,0,0,-0.18727163662099877,0,bear
2001-03-06,2000-11-27,oos,0,0.55,0.2,0.52,0.005378327332437038,0.005378327332437038,0,0,-0.17916012144855986,0,bear
2001-03-07,2000-11-27,oos,0,0.55,0.2,0.52,0.02670201286673546,0.02670201286673546,0,0,-0.1738637693167847,0,bear
2001-03-08,2000-11-27,oos,0,0.55,0.2,0.52,0.014633913524448872,0.014633913524448872,0,0,-0.17199794261178336,0,bear
