Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger
2015-11-24,2015-06-05,0.8662735819816589,0.6863012093413171,1,1,0,12,,0.5,bull,1,0,0
2015-11-25,2015-06-05,0.8048143982887268,0.6929528435272748,1,1,0,12,,0.5,bull,1,0,0
2015-11-27,2015-06-05,0.8216790556907654,0.7001776906608329,1,1,0,12,,0.5,bull,1,0,0
2015-11-30,2015-06-05,0.7989752888679504,0.7057227737656052,1,1,0,12,,0.5,bull,1,0,0
2015-12-01,2015-06-05,0.9274390935897827,0.7181667546054227,1,1,0,12,,0.5,bull,1,0,0
2015-12-02,2015-06-05,0.4230104982852936,0.7016009068531572,1,1,0,12,,0.5,bull,0,0,0
2015-12-03,2015-06-05,0.09739935398101807,0.6676896794194204,1,1,0,12,,0.5,bull,1,0,0
2015-12-07,2015-12-07,0.6879811882972717,0.6879811882972717,1,1,0,12,,0.5,bull,0,0,0
2015-12-08,2015-12-07,0.37522587180137634,0.6704275811964852,1,1,0,12,,0.5,bull,0,0,0
2015-12-09,2015-12-07,0.22409303486347198,0.6453767480096403,1,1,0,12,,0.5,bull,0,0,0
2015-12-10,2015-12-07,0.2883121073246002,0.6253362496341283,1,1,0,12,,0.5,bull,0,0,0
2015-12-11,2015-12-07,0.01174776628613472,0.5908981742756249,1,1,0,12,,0.5,bull,0,0,0
2015-12-14,2015-12-07,0.015116957016289234,0.5585820577119734,1,1,0,12,,0.5,bull,0,0,0
2015-12-15,2015-12-07,0.32243189215660095,0.5453279673598463,1,1,0,12,,0.5,bull,1,0,0
2015-12-16,2015-12-07,0.832887589931488,0.5614674488216725,1,1,0,12,,0.5,bull,0,0,0
2015-12-17,2015-12-07,0.21468453109264374,0.5420040192138831,1,1,0,12,,0.5,bull,0,0,0
2015-12-18,2015-12-07,0.008121454156935215,0.5120394933028014,1,1,0,12,,0.5,bull,0,0,0
2015-12-21,2015-12-07,0.07833073288202286,0.48769729102821446,0,0,1,12,,0.5,bear,0,0,0
2015-12-22,2015-12-07,0.2299162894487381,0.4732291551369649,0,0,1,12,,0.5,bear,1,0,0
