Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,mapped_spy_next_ret,mapped_spy_next_rf_daily,mapped_spy_return_date,equity_predicted_strategy,equity_full_upper_bound_oracle
2010-12-21,1.0,0.0,0.0031100817899829547,0.0031100817899829547,0.0031045301042800233,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0031100817899829547,5.551685702931408e-06,2010-12-22,39.022971267560855,39.022971267560855
2010-12-22,1.0,0.0,-0.0014311187062877595,-0.0014311187062877595,-0.001436670391990691,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0014311187062877595,5.551685702931408e-06,2010-12-23,38.96712476340492,38.96712476340492
2010-12-23,1.0,0.0,0.0003982619472813198,0.0003982619472813198,0.00039152162045597017,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0003982619472813198,6.740326825349641e-06,2010-12-27,38.98264388639315,38.98264388639315
2010-12-27,1.0,0.0,0.0014325991925707715,0.0014325991925707715,0.0014266512537559617,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0014325991925707715,5.947938814809817e-06,2010-12-28,39.03849039054907,39.03849039054907
2010-12-28,1.0,0.0,0.0007149569940971823,0.0007149569940971823,0.000709801600920823,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0007149569940971823,5.155393176359269e-06,2010-12-29,39.06640123229279,39.06640123229279
2010-12-29,1.0,0.0,-0.0015881258978726054,-0.0015881258978726054,-0.0015928849590997052,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0015881258978726054,4.759061227099792e-06,2010-12-30,39.004358868759105,39.004358868759105
2010-12-30,1.0,0.0,0.00023855405854522616,0.00023855405854522616,0.00023379499731812636,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.00023855405854522616,4.759061227099792e-06,2010-12-31,39.0136635168682,39.0136635168682
2010-12-31,1.0,0.0,0.010337687013308505,0.010337687013308505,0.010331739074493695,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.010337687013308505,5.947938814809817e-06,2011-01-03,39.416974559548116,39.416974559548116
2011-01-03,1.0,0.0,-0.0005504320691027687,-0.0005504320691027687,-0.0005559837548057001,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0005504320691027687,5.551685702931408e-06,2011-01-04,39.395278192683534,39.395278192683534
2011-01-04,1.0,0.0,0.005197292836772283,0.005197292836772283,0.005191741151069351,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.005197292836772283,5.551685702931408e-06,2011-01-05,39.60002698983702,39.60002698983702
2011-01-05,1.0,0.0,-0.0019586220620961825,-0.0019586220620961825,-0.0019645700009109923,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0019586220620961825,5.947938814809817e-06,2011-01-06,39.52246550331512,39.52246550331512
2011-01-06,1.0,0.0,-0.0019623872891189054,-0.0019623872891189054,-0.0019679389748218368,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0019623872891189054,5.551685702931408e-06,2011-01-07,39.44490711937677,39.44490711937677
2011-01-07,1.0,0.0,-0.0012581833832957523,-0.0012581833832957523,-0.0012641313221105621,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0012581833832957523,5.947938814809817e-06,2011-01-10,39.39527819268353,39.39527819268353
2011-01-10,1.0,0.0,0.0035439058742883223,0.0035439058742883223,0.0035379579354735124,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0035439058742883223,5.947938814809817e-06,2011-01-11,39.5348913504898,39.5348913504898
2011-01-11,1.0,0.0,0.009024395469328761,0.009024395469328761,0.009018447530513951,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.009024395469328761,5.947938814809817e-06,2011-01-12,39.89166984487357,39.89166984487357
2011-01-12,1.0,0.0,-0.0016331241568680044,-0.0016331241568680044,-0.0016390720956828142,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0016331241568680044,5.947938814809817e-06,2011-01-13,39.8265217951921,39.8265217951921
2011-01-13,1.0,0.0,0.00724461610335525,0.00724461610335525,0.0072386681645404405,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.00724461610335525,5.947938814809817e-06,2011-01-14,40.11504965633018,40.11504965633018
2011-01-14,1.0,0.0,0.0017012949316228543,0.0017012949316228543,0.0016949507791030882,2010-12-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0017012949316228543,6.344152519766055e-06,2011-01-18,40.18329718699229,40.18329718699229
