Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,y_true,selected_smoothing_halflife,next_ret,next_rf_daily,next_excess_ret
2016-08-08,2016-06-07,0.9941919445991516,0.8957918813458658,1,12,0.0005962039768183658,1.1491348215653119e-05,0.0005847126286027127
2016-08-09,2016-06-07,0.9946348667144775,0.9013395118362725,1,12,-0.002475196240682709,1.1095646087921907e-05,-0.0024862918867706307
2016-08-10,2016-06-07,0.9865755438804626,0.9061234427190379,1,12,0.004640943612834736,1.1095646087921907e-05,0.004629847966746814
2016-08-11,2016-06-07,0.9921250939369202,0.9109503445041508,1,12,-0.0008689712463999522,1.1491348215653119e-05,-0.0008804625946156053
2016-08-12,2016-06-07,0.9888930916786194,0.9153249347607948,1,12,0.0028837412819762154,1.2282634586968655e-05,0.0028714586473892467
2016-08-15,2016-06-07,0.9938005805015564,0.9197294343157429,1,12,-0.0051577692666271435,1.0699904655186998e-05,-0.0051684691712823305
2016-08-16,2016-06-07,0.9548096060752869,0.9216983330669916,1,12,0.0018811626253940616,1.1887011045930151e-05,0.0018692756143481315
2016-08-17,2016-06-07,0.9251114130020142,0.9218898945242171,1,12,0.0022439435411529818,1.1887011045930151e-05,0.0022320565301070516
2016-08-18,2016-06-07,0.9824237823486328,0.9252874005844117,1,12,-0.0014624614220083432,1.1887011045930151e-05,-0.0014743484330542733
2016-08-19,2016-06-07,0.9414153099060059,0.9261925905800935,1,12,-4.553891173253444e-05,1.1491348215653119e-05,-5.7030259948187556e-05
2016-08-22,2016-06-07,0.9413897395133972,0.9270455410092538,1,12,0.0020136147106706304,1.1887011045930151e-05,0.0020017276996247
2016-08-23,2016-06-07,0.9680024981498718,0.9293442783792375,1,12,-0.005115064262854907,1.2282634586968655e-05,-0.005127346897441876
2016-08-24,2016-06-07,0.7841408848762512,0.9211946381179319,1,12,-0.000688609774289306,1.3073763831750185e-05,-0.0007016835381210562
2016-08-25,2016-06-07,0.6017360687255859,0.9032648063410635,1,12,-0.0018833274268184041,1.3469269551036334e-05,-0.0018967966963694405
2016-08-26,2016-06-07,0.4356904625892639,0.8770218749255877,1,12,0.004924539970475372,1.3073763831750185e-05,0.004911466206643622
2016-08-29,2016-06-07,0.8657207489013672,0.8763875914600074,1,12,-0.0016486068339449655,1.3073763831750185e-05,-0.0016616805977767157
2016-08-30,2016-06-07,0.44218310713768005,0.852017566340726,1,12,-0.002844010530215324,1.3073763831750185e-05,-0.002857084294047074
2016-08-31,2016-06-07,0.538615882396698,0.8344276814226528,1,12,4.5699706897162073e-05,1.3073763831750185e-05,3.262594306541189e-05
2016-09-01,2016-06-07,0.7042026519775391,0.8271187121389991,1,12,0.004508201571866488,1.3073763831750185e-05,0.004495127808034738
