Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag
2016-09-21,1,0.0,0.0112453200032018,0.0112453200032018,0.011236599395560456,hold,2016-06-07,12,0.47,0.65,0.5669436454772949,0.617611509985248,1,2.0878654355674438,1,1,0
2016-09-22,1,0.0,0.0063013567286684,0.0063013567286684,0.006294220266928624,hold,2016-06-07,12,0.47,0.65,0.7655603885650635,0.6259152424835128,1,2.1010218204784112,1,1,0
2016-09-23,1,0.0,-0.0054791916855965,-0.0054791916855965,-0.005486328147336276,hold,2016-06-07,12,0.47,0.65,0.8752442002296448,0.6399090016053715,1,2.089509919188389,1,1,0
2016-09-26,1,0.0,-0.0081021290661472,-0.0081021290661472,-0.008112037369990376,bull,2016-06-07,12,0.47,0.65,0.8754334449768066,0.6531279728698548,0,2.07258044013813,1,1,0
2016-09-27,1,0.0,0.0062077594212961,0.0062077594212961,0.006197455297386423,hold,2016-06-07,12,0.47,0.65,0.4336616098880768,0.6408102724042536,1,2.0854465208917916,1,1,0
2016-09-28,1,0.0,0.0049634591534122,0.0049634591534122,0.004952759248757013,hold,2016-06-07,12,0.47,0.65,0.7979147434234619,0.6496278688209856,1,2.0957975495148635,1,1,0
2016-09-29,1,0.0,-0.0090469502977383,-0.0090469502977383,-0.009057254421647978,bull,2016-06-07,12,0.47,0.65,0.9416715502738953,0.6660190211694987,0,2.076836973250281,1,1,0
2016-09-30,1,0.0,0.0075459851715284,0.0075459851715284,0.007534493823312747,bull,2016-06-07,12,0.47,0.65,0.5231610536575317,0.6580010195539934,1,2.09250875425411,1,1,0
2016-10-03,1,0.0,-0.0024038629472651,-0.0024038629472651,-0.002416541166111196,bull,2016-06-07,12,0.47,0.65,0.959581732749939,0.6749274443640608,1,2.0874786499929305,1,1,0
2016-10-04,1,0.0,-0.0050978613566589,-0.0050978613566589,-0.00511093512049065,bull,2016-06-07,12,0.47,0.65,0.7446951866149902,0.6788432068505407,0,2.076836973250281,1,1,0
2016-10-05,1,0.0,0.0044249905473339,0.0044249905473339,0.004412312328487804,bull,2016-06-07,12,0.47,0.65,0.28304967284202576,0.6566290227181713,1,2.086026957225267,1,1,0
2016-10-06,1,0.0,0.0006959127554104,0.0006959127554104,0.0006828389915786498,bull,2016-06-07,12,0.47,0.65,0.6144704818725586,0.6542628456368743,1,2.08747864999293,1,1,0
2016-10-07,1,0.0,-0.0034293595192222,-0.0034293595192222,-0.00344243328305395,bull,2016-06-07,12,0.47,0.65,0.8158411979675293,0.6633315417171919,0,2.080319935213404,1,1,0
2016-10-10,1,0.0,0.0052084909240166,0.0052084909240166,0.00519541716018485,bull,2016-06-07,12,0.47,0.65,0.5289224982261658,0.6557877417694619,1,2.091155262715014,1,1,0
2016-10-11,1,0.0,-0.0126297647717825,-0.0126297647717825,-0.012643629507794893,bull,2016-06-07,12,0.47,0.65,0.9460420608520508,0.6720784649250792,0,2.0647444636456482,1,1,0
2016-10-12,1,0.0,0.0013119661625844,0.0013119661625844,0.0012973106113928887,hold,2016-06-07,12,0.47,0.65,0.15811124444007874,0.643231701416279,0,2.067453338516335,1,1,0
2016-10-13,1,0.0,-0.0032758258691419,-0.0032758258691419,-0.00328771288018783,hold,2016-06-07,12,0.47,0.65,0.17949146032333374,0.6172039616477802,0,2.0606807213867793,1,1,0
2016-10-14,1,0.0,0.0005166910142668,0.0005166910142668,0.0005040127954207039,hold,2016-06-07,12,0.47,0.65,0.14353638887405396,0.5906190435654609,0,2.0617454565987927,1,1,0
2016-10-17,1,0.0,-0.0034723290980879,-0.0034723290980879,-0.0034857983676389362,hold,2016-06-07,12,0.47,0.65,0.40543195605278015,0.5802252909963364,0,2.054586397856994,1,1,0
2016-10-18,1,0.0,0.0062625454314122,0.0062625454314122,0.0062490761618611635,hold,2016-06-07,12,0.47,0.65,0.28733208775520325,0.5637864586535674,0,2.067453338516335,1,1,0
2016-10-19,1,0.0,0.0026669947483637,0.0026669947483637,0.0026531300123513075,hold,2016-06-07,12,0.47,0.65,0.5773643255233765,0.5645485257639519,1,2.0729672257126452,1,1,0
2016-10-20,1,0.0,-0.0018666014239733,-0.0018666014239733,-0.0018804661599856921,hold,2016-06-07,12,0.47,0.65,0.6852226257324219,0.5713214425662003,0,2.0690978221372798,1,1,0
2016-10-21,1,0.0,0.0004672113392798,0.0004672113392798,0.00045374206972876365,hold,2016-06-07,12,0.47,0.65,0.7725608348846436,0.5826161417755913,0,2.0700645281018617,1,1,0
2016-10-24,1,0.0,0.0042528695238073,0.0042528695238073,0.00423979575997555,hold,2016-06-07,12,0.47,0.65,0.6602012515068054,0.586970659384922,1,2.0788682424457408,1,1,0
2016-10-25,1,0.0,-0.0033504942061682,-0.0033504942061682,-0.0033639634757192363,hold,2016-06-07,12,0.47,0.65,0.7038208246231079,0.5935289552221729,1,2.0719030064440394,1,1,0
2016-10-26,1,0.0,-0.00200767493446,-0.00200767493446,-0.00202074869829175,hold,2016-06-07,12,0.47,0.65,0.5216572284698486,0.5894951051594451,0,2.0677432987113695,1,1,0
