Date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold
2008-07-16,0.002103349892422557,0.027982996483484172,0,0,1,8,0.48,0.67
2008-07-17,0.004243434406816959,0.026012708815029074,0,0,1,8,0.48,0.67
2008-07-18,0.0047519514337182045,0.02424815191397383,0,0,1,8,0.48,0.67
2008-07-21,0.018536806106567383,0.02377413330409914,0,0,1,8,0.48,0.67
2008-07-22,0.043368056416511536,0.025400349700187914,0,0,1,8,0.48,0.67
2008-07-23,0.04188915714621544,0.02676885405058491,0,0,1,8,0.48,0.67
2008-07-24,0.08172816038131714,0.0313302542643116,0,0,1,8,0.48,0.67
2008-07-25,0.02835603803396225,0.03108340634255756,0,0,1,8,0.48,0.67
2008-07-28,0.015811221674084663,0.0298158767636427,0,0,1,8,0.48,0.67
2008-07-29,0.003931930288672447,0.027667613860313467,0,0,1,8,0.48,0.67
2008-07-30,0.017371544614434242,0.02681308174202076,0,0,1,8,0.48,0.67
2008-07-31,0.5106551647186279,0.06697001835650913,0,0,1,8,0.48,0.67
2008-08-01,0.054612159729003906,0.06594436605577793,0,0,1,8,0.48,0.67
2008-08-04,0.03673544153571129,0.06352014341827246,0,0,1,8,0.48,0.67
2008-08-05,0.035091858357191086,0.06116071069957766,0,0,1,8,0.48,0.67
2008-08-06,0.3881148099899292,0.08829657899833532,0,0,1,8,0.48,0.67
2008-08-07,0.679550051689148,0.13736822667287013,0,0,1,8,0.48,0.67
2008-08-08,0.2526467740535736,0.14693588001070726,0,0,1,8,0.48,0.67
2008-08-11,0.7298604846000671,0.1953162653081399,0,0,1,8,0.48,0.67
2008-08-12,0.9850136637687683,0.26085795647216176,0,0,1,8,0.48,0.67
2008-08-13,0.7902237772941589,0.304793179266028,0,0,1,8,0.48,0.67
2008-08-14,0.2736479640007019,0.30220825232548576,0,0,1,8,0.48,0.67
2008-08-15,0.7371032238006592,0.338302776588545,0,0,1,8,0.48,0.67
2008-08-18,0.9209910035133362,0.3866635434955417,0,0,1,8,0.48,0.67
2008-08-19,0.14370258152484894,0.36649876599287057,0,0,1,8,0.48,0.67
2008-08-20,0.04424450919032097,0.33975296561817536,0,0,1,8,0.48,0.67
2008-08-21,0.08717378973960876,0.31878991524955813,0,0,1,8,0.48,0.67
2008-08-22,0.1420927494764328,0.3041247649131948,0,0,1,8,0.48,0.67
2008-08-25,0.47492220997810364,0.31830026228455455,0,0,1,8,0.48,0.67
2008-08-26,0.07734192907810211,0.29830169487227737,0,0,1,8,0.48,0.67
2008-08-27,0.1542036235332489,0.2863421375691331,0,0,1,8,0.48,0.67
2008-08-28,0.42074987292289734,0.29749743616551216,0,0,1,8,0.48,0.67
2008-08-29,0.8236730098724365,0.3411678813476494,0,0,1,8,0.48,0.67
2008-09-02,0.22556690871715546,0.331573468017711,0,0,1,8,0.48,0.67
2008-09-03,0.12175212055444717,0.31415914452891225,0,0,1,8,0.48,0.67
2008-09-04,0.12289431691169739,0.2982849371595279,0,0,1,8,0.48,0.67
2008-09-05,0.0018354642670601606,0.27368082951534667,0,0,1,8,0.48,0.67
2008-09-08,0.0014299884205684066,0.2510851104703525,0,0,1,8,0.48,0.67
2008-09-09,0.14012053608894348,0.24187549944918102,0,0,1,8,0.48,0.67
2008-09-10,0.002090201945975423,0.2219742892574499,0,0,1,8,0.48,0.67
2008-09-11,0.0018559395102784038,0.2037053562119746,0,0,1,8,0.48,0.67
2008-09-12,0.015638714656233788,0.18809658535477175,0,0,1,8,0.48,0.67
2008-09-15,0.11192233860492706,0.18177443086260495,0,0,1,8,0.48,0.67
2008-09-16,0.000668930821120739,0.1667434066057655,0,0,1,8,0.48,0.67
2008-09-17,0.002278621308505535,0.1530934943908811,0,0,1,8,0.48,0.67
2008-09-18,0.0007823208579793572,0.14045228281289857,0,0,1,8,0.48,0.67
2008-09-19,0.000710274267476052,0.12885426110917023,0,0,1,8,0.48,0.67
2008-09-22,0.08679389953613281,0.12536342115725851,0,0,1,8,0.48,0.67
2008-09-23,0.0029918972868472338,0.11520707944913132,0,0,1,8,0.48,0.67
2008-09-24,0.0010217460803687572,0.10573015845419728,0,0,1,8,0.48,0.67
2008-09-25,0.0017081787809729576,0.09709675472347379,0,0,1,8,0.48,0.67
2008-09-26,0.003213551826775074,0.08930482847205229,0,0,1,8,0.48,0.67
2008-09-29,0.011101636104285717,0.08281427969704035,0,0,1,8,0.48,0.67
2008-09-30,0.0012213197769597173,0.07604239392071034,0,0,1,8,0.48,0.67
2008-10-01,0.0032863831147551537,0.0700039391912588,0,0,1,8,0.48,0.67
2008-10-02,0.0030308880377560854,0.06444544673127135,0,0,1,8,0.48,0.67
2008-10-03,0.0010154470801353455,0.05918101322069795,0,0,1,8,0.48,0.67
2008-10-06,0.0009694850305095315,0.05434969174203501,0,0,1,8,0.48,0.67
2008-10-07,0.0013765902258455753,0.04995313849728278,0,0,1,8,0.48,0.67
2008-10-08,0.0010186630534008145,0.045891774887540274,0,0,1,8,0.48,0.67
2008-10-09,0.0014373234007507563,0.04220223515258265,0,0,1,8,0.48,0.67
2008-10-10,0.0010636217193678021,0.03878789656945982,0,0,1,8,0.48,0.67
2008-10-13,0.0010636217193678021,0.03565693428386647,0,0,1,8,0.48,0.67
2008-10-14,0.0018765765707939863,0.03285330117458156,0,0,1,8,0.48,0.67
2008-10-15,0.0011985136661678553,0.03022608179816794,0,0,1,8,0.48,0.67
2008-10-16,0.0014403940876945853,0.027836986104625667,0,0,1,8,0.48,0.67
2008-10-17,0.003017233684659004,0.025777047005107356,0,0,1,8,0.48,0.67
2008-10-20,0.0028352905064821243,0.023872973973938505,0,0,1,8,0.48,0.67
2008-10-21,0.002838457701727748,0.02212719417019946,0,0,1,8,0.48,0.67
2008-10-22,0.001533389207907021,0.02041799162329761,0,0,1,8,0.48,0.67
2008-10-23,0.0019951520953327417,0.018888970429787363,0,0,1,8,0.48,0.67
2008-10-24,0.0013619055971503258,0.017434294914188894,0,0,1,8,0.48,0.67
2008-10-27,0.0011005705455318093,0.016078661832181023,0,0,1,8,0.48,0.67
2008-10-28,0.0011544296285137534,0.014840010901002,0,0,1,8,0.48,0.67
2008-10-29,0.006317692343145609,0.01413269291817812,0,0,1,8,0.48,0.67
2008-10-30,0.005660412833094597,0.013429527926278604,0,0,1,8,0.48,0.67
2008-10-31,0.026088668033480644,0.014480185371681959,0,0,1,8,0.48,0.67
2008-11-03,0.0280196201056242,0.015603903711893404,0,0,1,8,0.48,0.67
2008-11-04,0.034634556621313095,0.0171833709585505,0,0,1,8,0.48,0.67
2008-11-05,0.3741708993911743,0.04681189244481575,0,0,1,8,0.48,0.67
2008-11-06,0.039089590311050415,0.046170972590561285,0,0,1,8,0.48,0.67
2008-11-07,0.0025607526767998934,0.042551500662763954,0,0,1,8,0.48,0.67
2008-11-10,0.01007627509534359,0.03985618824465178,0,0,1,8,0.48,0.67
2008-11-11,0.004006173927336931,0.036880782005259995,0,0,1,8,0.48,0.67
2008-11-12,0.0015972484834492207,0.03395239138149725,0,0,1,8,0.48,0.67
2008-11-13,0.0014564326265826821,0.03125535819265157,0,0,1,8,0.48,0.67
2008-11-14,0.0038194276858121157,0.028978286889666284,0,0,1,8,0.48,0.67
2008-11-17,0.0016379468142986298,0.02670914920600147,0,0,1,8,0.48,0.67
2008-11-18,0.0009751520701684058,0.024573331491544753,0,0,1,8,0.48,0.67
2008-11-19,0.00099696044344455,0.022616588018645988,0,0,1,8,0.48,0.67
2008-11-20,0.0011809393763542175,0.02083751585005049,0,0,1,8,0.48,0.67
2008-11-21,0.000810207799077034,0.019175330256325156,0,0,1,8,0.48,0.67
2008-11-24,0.0009048165520653129,0.017658951490297944,0,0,1,8,0.48,0.67
2008-11-25,0.0039249928668141365,0.01651908845375445,0,0,1,8,0.48,0.67
2008-11-26,0.005481683649122715,0.01560302848145668,0,0,1,8,0.48,0.67
2008-11-28,0.13815903663635254,0.02577468163928838,0,0,1,8,0.48,0.67
2008-12-01,0.23010744154453278,0.04273347455225433,0,0,1,8,0.48,0.67
