Date,equity_current_baseline,equity_buy_and_hold,equity_fixed_rising_floor_048,equity_fixed_rising_floor_049,equity_fixed_rising_floor_050,equity_fixed_rising_floor_051,equity_fixed_rising_floor_052,equity_fixed_rising_floor_053,equity_dynamic_rising_floor
2024-04-12,3.8100908042455774,5.775324894364911,4.742188154829012,4.926930437345075,4.95360622909708,5.46730388302619,5.58265850564643,5.139688400504281,4.839225982739901
2024-04-15,3.762357137645688,5.702970686150062,4.740815786442313,4.925504605354669,4.952172677249912,5.465721669338211,5.581042908838216,5.140770841495709,4.837825532032764
2024-04-16,3.761268328044171,5.692570252445897,4.741814223106207,4.926541938296444,4.953215626604967,5.4668727743705805,5.5822183010310304,5.1418535104539735,4.838844399375916
2024-04-17,3.762060467703384,5.658879547853428,4.742812870045256,4.927579489705102,4.9542587956097455,5.468024121830735,5.583393940766612,5.142936407427084,4.839863481297014
2024-04-18,3.762854190146153,5.647235472632223,4.743813512392482,4.928619114257414,4.955304048982762,5.469177769811769,5.584571929561755,5.144021468149353,4.840884599457666
2024-04-19,3.763646663794903,5.597944294187332,4.744812580390652,4.929657103128468,4.9563476578184815,5.470329602714105,5.5857480649818605,5.145104821703892,4.841904111053878
2024-04-22,3.764435053881747,5.649496574770905,4.745806500260521,4.930689743314656,4.9573858890100455,5.471475500301155,5.586918139857487,5.146182592812489,4.842918369177343
2024-04-23,3.7652278604673546,5.716537652389798,4.7468059879907045,4.9317281682693,4.958429936290435,5.472627817115642,5.588094769399804,5.147266401509392,4.843938309094406
2024-04-24,3.7660222511691113,5.713823835052671,4.7478074728090585,4.932768668113042,4.959476069693956,5.4737824363878875,5.589273749979427,5.148352375777179,4.844960286965394
2024-04-25,3.7668182267847534,5.692117537247452,4.748810955721287,4.933811243890761,4.960524290271147,5.474939359277374,5.590455082780302,5.1494405167064,4.845984303816591
2024-04-26,3.767612953023233,5.746044010417404,4.749812863549292,4.934852183223416,4.9615708655430995,5.476094466240583,5.591634561340678,5.150526949670702,4.847006713353137
2024-04-29,3.7684064288883823,5.766393222850237,4.750813195037212,4.93589148480622,4.96261579419796,5.4772477558296195,5.592812184182112,5.151611673308274,4.848027514293472
2024-04-30,3.769201490206976,5.6750465341672935,4.751815525299225,4.936932863029721,4.963662810737037,5.478403349820128,5.593992160045573,5.067427761245105,4.849050354908154
2024-05-01,3.769996719268225,5.6566191525300455,4.752818067033656,4.93797446096401,4.964710048176477,5.479559187618754,5.595172384861261,5.065963177213866,4.850073411322543
2024-05-02,3.77079211610752,5.709527811670708,4.753820820285122,4.939016278655441,4.965757506562887,5.4807152692769385,5.596352858681698,5.067031998064172,4.8510966835821705
2024-05-03,3.771586261518404,5.780299460433072,4.754821995866365,4.940056457215064,4.966803316942767,5.481869532027426,5.597531475217312,5.068099137297564,4.852118345888231
2024-05-06,3.7723805741798047,5.839991779397426,4.755823382299591,4.941096854840869,4.967849347574915,5.483024037870727,5.598710339974754,5.1179019969335915,4.853140223360868
2024-05-07,3.773175054126947,5.846435461062724,4.756824979629205,4.942137471578992,4.968895598505716,5.484178786858039,5.5998894530063,5.123549565271272,4.8541623160453975
2024-05-08,3.773969701395062,5.847000559893569,4.757826787899624,4.943178307475578,4.969942069781567,5.485333779040569,5.60106881436424,5.1240454115508784,4.855184623987143
2024-05-09,3.7747659364572153,5.88069020426309,4.782861265103687,4.969188057340546,4.996092643772173,5.514196213418657,5.630540217129091,5.153568860926136,4.880731373419016
2024-05-10,3.775563760112995,5.888265497220677,4.789022374429321,4.975589186117642,5.002528430066847,5.521299402039608,5.637793275898162,5.1602075024023195,4.887018555487224
2024-05-13,3.7741826680417776,5.8890557167239725,4.789665072840896,4.976256922247596,5.003199781508642,5.522040373803379,5.638549881422195,5.160900014757847,4.887674405223846
2024-05-14,3.7915004860508112,5.9160754985327975,4.811642426708275,4.999090451868564,5.026156938302528,5.547378228020615,5.6644223389235675,5.18458077827128,4.910101474415225
2024-05-15,3.838449369032181,5.989335137144537,4.871223386296919,5.060992517686976,5.088394159373849,5.616069558072906,5.734562987072126,5.248779708790224,4.970901619475758
2024-05-16,3.830552945926717,5.977011812421841,4.861202349883162,5.050581089943349,5.077926361222347,5.604516230893956,5.722765896289533,5.237981966946247,4.960675525907949
2024-05-17,3.836059423626925,5.98560385918577,4.868190401664119,5.057841376522717,5.085225957042085,5.612572807602729,5.7309924586778545,5.245511645116015,4.9678065718814635
2024-05-20,3.8404782859143167,5.992500256049513,4.873798203994099,5.0636676430233525,5.091083768593709,5.6190380844860845,5.737594146412148,5.251554094157318,4.9735291248159506
2024-05-21,3.8498967364196415,6.007197066543291,4.885750784829048,5.076085862713891,5.103569224030035,5.632818303549,5.751665114261601,5.264433089592148,4.985726287359657
2024-05-22,3.838812662477029,5.9899005893830335,4.871684427554597,5.0614715198124,5.088875754951953,5.616601095957115,5.735105739872015,5.249276484200898,4.9713720948682205
2024-05-23,3.810772478525023,5.946148722429497,4.836099745645006,5.024500559007087,5.051704622931751,5.575575252353157,5.693214292158999,5.210933722734398,4.935059255381016
