Date,spy_predicted_label,spy_predicted_bull_flag,spy_predicted_bear_flag,spy_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2016-08-19,1.0,1.0,0.0,0.936147274192907,1,1,0,0.8671938216321656,1,1,0,0.9286287405534233
2016-08-22,1.0,1.0,0.0,0.937562599834463,1,1,0,0.8683559872272864,1,1,0,0.9326811342226592
2016-08-23,1.0,1.0,0.0,0.9357737982945241,1,1,0,0.8658252888967484,1,1,0,0.9377633883238617
2016-08-24,1.0,1.0,0.0,0.938986036658776,1,1,0,0.8744686849022973,1,1,0,0.941804562527088
2016-08-25,1.0,1.0,0.0,0.9303179333955983,1,1,0,0.859931306746883,1,1,0,0.9371662698681167
2016-08-26,1.0,1.0,0.0,0.897493537124559,1,1,0,0.858930395031074,1,1,0,0.9328288535302232
2016-08-29,1.0,1.0,0.0,0.8524178199570083,1,1,0,0.8276866101180514,1,1,0,0.9300866871524899
2016-08-30,1.0,1.0,0.0,0.8559533819752185,1,1,0,0.8401522076595671,1,1,0,0.934230563256858
2016-08-31,1.0,1.0,0.0,0.8468625909091809,1,1,0,0.8528553474717475,1,1,0,0.9374776290384259
2016-09-01,1.0,1.0,0.0,0.8331852014713352,1,1,0,0.8504814256358169,1,1,0,0.9349532938887195
2016-09-02,1.0,1.0,0.0,0.8251224778970975,1,1,0,0.8465870791963347,1,1,0,0.9306702621614481
2016-09-06,1.0,1.0,0.0,0.8053364458895461,1,1,0,0.8589039653908008,1,1,0,0.9356812349223798
2016-09-07,1.0,1.0,0.0,0.8156263650254103,1,1,0,0.8689073087959782,1,1,0,0.9407082052491418
2016-09-08,1.0,1.0,0.0,0.8247481265531185,1,1,0,0.8793381213725666,1,1,0,0.945209619278808
2016-09-09,1.0,1.0,0.0,0.8061854025582025,1,1,0,0.8788025077774498,1,1,0,0.9491154499025884
2016-09-12,1.0,1.0,0.0,0.7401605455183424,1,1,0,0.8061226440888989,1,1,0,0.8716658865413988
2016-09-13,1.0,1.0,0.0,0.7077218232844992,1,1,0,0.7419584650905554,1,1,0,0.8345997453482845
2016-09-14,1.0,1.0,0.0,0.6500537975935975,1,1,0,0.6806448158828644,1,1,0,0.7664757609814347
2016-09-15,1.0,1.0,0.0,0.5977734174586392,1,1,0,0.6243410323734702,1,1,0,0.7043894939774106
2016-09-16,1.0,1.0,0.0,0.5710765103562364,1,1,0,0.5745584985149916,1,1,0,0.6794807146620168
2016-09-19,1.0,1.0,0.0,0.5446164643278237,0,0,1,0.5275235272261963,1,1,0,0.647246863353909
2016-09-20,1.0,1.0,0.0,0.5159262165248097,0,0,1,0.48643798128802596,1,1,0,0.6333910063535002
2016-09-21,1.0,1.0,0.0,0.518690798787413,0,0,1,0.4487618770152884,1,1,0,0.6241256477529288
2016-09-22,1.0,1.0,0.0,0.5482820923281655,0,0,1,0.4643730193831495,1,1,0,0.6475623771932772
2016-09-23,1.0,1.0,0.0,0.5547971930749488,0,0,1,0.504272385481497,1,1,0,0.6765782406275801
2016-09-26,1.0,1.0,0.0,0.5817128041585036,0,0,1,0.5225541715133483,1,1,0,0.7020059397186067
2016-09-27,1.0,1.0,0.0,0.5666290020767301,0,0,1,0.53405228933199,1,1,0,0.7091113336706322
2016-09-28,1.0,1.0,0.0,0.5810454859532654,1,1,0,0.5634098494155828,1,1,0,0.7272640772745039
2016-09-29,1.0,1.0,0.0,0.6087018857568047,1,1,0,0.5928558948687991,1,1,0,0.748637576103623
2016-09-30,1.0,1.0,0.0,0.5987973186480473,1,1,0,0.5959372159874124,1,1,0,0.753120307663036
2016-10-03,1.0,1.0,0.0,0.6278296500672155,1,1,0,0.6227022220413722,1,1,0,0.7673388894397686
2016-10-04,1.0,1.0,0.0,0.6293042320731017,1,1,0,0.6398876417466424,1,1,0,0.7646817900936526
2016-10-05,1.0,1.0,0.0,0.6086722107496664,1,1,0,0.6109790846776774,1,1,0,0.7668389964562354
2016-10-06,1.0,1.0,0.0,0.6146118281913157,1,1,0,0.6106325211605906,1,1,0,0.7739002725833141
2016-10-07,1.0,1.0,0.0,0.6215930433790792,1,1,0,0.6165782453520133,1,1,0,0.7696999949561928
2016-10-10,1.0,1.0,0.0,0.6079035431142958,1,1,0,0.5776830614816157,1,1,0,0.7637963802710198
2016-10-11,1.0,1.0,0.0,0.6363177978688251,1,1,0,0.5940947354357073,1,1,0,0.7577111841223646
2016-10-12,1.0,1.0,0.0,0.5937806493922348,0,0,1,0.5467659058515453,1,1,0,0.714876968227915
2016-10-13,1.0,1.0,0.0,0.5596117092465414,0,0,1,0.5037886600210272,1,1,0,0.6914264139927087
2016-10-14,1.0,1.0,0.0,0.5244744501695864,0,0,1,0.4649087030840576,1,1,0,0.6349057191926741
2016-10-17,1.0,1.0,0.0,0.5024479118701836,0,0,1,0.43059738328098784,1,1,0,0.5846693282107939
2016-10-18,1.0,1.0,0.0,0.4903671485979601,0,0,1,0.39926194426422495,1,1,0,0.5401058236054286
2016-10-19,1.0,1.0,0.0,0.4919050370439579,0,0,1,0.3795524942161088,1,1,0,0.5063538658459443
2016-10-20,1.0,1.0,0.0,0.49905538499870905,0,0,1,0.4006082475072051,1,1,0,0.48571978338535626
2016-10-21,1.0,1.0,0.0,0.5222516920121815,0,0,1,0.3977427566069422,1,1,0,0.47321082953787896
2016-10-24,1.0,1.0,0.0,0.5198088712998739,0,0,1,0.39129836386424033,1,1,0,0.4659654613718865
2016-10-25,1.0,1.0,0.0,0.5219317550250246,0,0,1,0.41463278867382924,0,0,1,0.44916303224732873
